1.8253 	WARNING 	User requested fullscreen with size [800 800], but screen is actually [2560, 1440]. Using actual size
4.7047 	EXP 	TextStim: autoDraw = None
4.7047 	EXP 	ImageStim: autoDraw = None
4.7047 	EXP 	MovieStim: autoLog = None
4.7047 	EXP 	MovieStim: units = None
4.7047 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.7047 	EXP 	MovieStim: pos = None
4.7047 	EXP 	MovieStim: depth = None
4.7047 	EXP 	MovieStim: colorSpace = None
4.7047 	EXP 	MovieStim: opacity = None
4.7047 	EXP 	MovieStim: size = None
4.7047 	EXP 	MovieStim: ori = None
4.7047 	EXP 	MovieStim: autoLog = None
4.7047 	EXP 	MovieStim: units = None
4.7047 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.7047 	EXP 	MovieStim: pos = None
4.7047 	EXP 	MovieStim: depth = None
4.7047 	EXP 	MovieStim: colorSpace = None
4.7047 	EXP 	MovieStim: opacity = None
4.7047 	EXP 	MovieStim: size = None
4.7047 	EXP 	MovieStim: ori = None
4.7047 	EXP 	MovieStim: autoDraw = None
4.7047 	EXP 	MovieStim: autoDraw = None
4.7049 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7049 	EXP 	Sound  started
4.7210 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7210 	EXP 	Sound  started
4.7375 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7375 	EXP 	Sound  started
4.7543 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7543 	EXP 	Sound  started
4.7714 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7714 	EXP 	Sound  started
4.7878 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7878 	EXP 	Sound  started
4.8042 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8042 	EXP 	Sound  started
4.8214 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8214 	EXP 	Sound  started
4.8375 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8375 	EXP 	Sound  started
4.8545 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8545 	EXP 	Sound  started
4.8711 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8712 	EXP 	Sound  started
4.8876 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8876 	EXP 	Sound  started
4.9035 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9035 	EXP 	Sound  started
4.9194 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9194 	EXP 	Sound  started
4.9364 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9364 	EXP 	Sound  started
4.9534 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9534 	EXP 	Sound  started
4.9694 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9694 	EXP 	Sound  started
4.9865 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9865 	EXP 	Sound  started
5.0032 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0033 	EXP 	Sound  started
5.0197 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0198 	EXP 	Sound  started
5.0362 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0362 	EXP 	Sound  started
5.0530 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0530 	EXP 	Sound  started
5.0699 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0699 	EXP 	Sound  started
5.0865 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0866 	EXP 	Sound  started
5.1028 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1028 	EXP 	Sound  started
5.1194 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1195 	EXP 	Sound  started
5.1363 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1363 	EXP 	Sound  started
5.1529 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1530 	EXP 	Sound  started
5.1693 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1694 	EXP 	Sound  started
5.1861 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1861 	EXP 	Sound  started
5.2034 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2034 	EXP 	Sound  started
5.2191 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2191 	EXP 	Sound  started
5.2366 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2366 	EXP 	Sound  started
5.2535 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2535 	EXP 	Sound  started
5.2695 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2695 	EXP 	Sound  started
5.2861 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2861 	EXP 	Sound  started
5.3026 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3026 	EXP 	Sound  started
5.3202 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3202 	EXP 	Sound  started
5.3364 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3365 	EXP 	Sound  started
5.3531 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3532 	EXP 	Sound  started
5.3694 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3694 	EXP 	Sound  started
5.3873 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3873 	EXP 	Sound  started
5.4031 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4032 	EXP 	Sound  started
5.4193 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4194 	EXP 	Sound  started
5.4369 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4369 	EXP 	Sound  started
5.4535 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4535 	EXP 	Sound  started
5.4696 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4696 	EXP 	Sound  started
5.4871 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4871 	EXP 	Sound  started
5.5037 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5037 	EXP 	Sound  started
5.5200 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5200 	EXP 	Sound  started
5.5366 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5366 	EXP 	Sound  started
5.5537 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5537 	EXP 	Sound  started
5.5702 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5703 	EXP 	Sound  started
5.5862 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5862 	EXP 	Sound  started
5.6031 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6031 	EXP 	Sound  started
5.6205 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6205 	EXP 	Sound  started
5.6371 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6371 	EXP 	Sound  started
5.6532 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6532 	EXP 	Sound  started
5.6703 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6704 	EXP 	Sound  started
5.6864 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6864 	EXP 	Sound  started
5.7038 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7038 	EXP 	Sound  started
5.7199 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7199 	EXP 	Sound  started
5.7371 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7371 	EXP 	Sound  started
5.7529 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7529 	EXP 	Sound  started
5.7705 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7705 	EXP 	Sound  started
5.7874 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7874 	EXP 	Sound  started
5.8038 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8038 	EXP 	Sound  started
5.8198 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8198 	EXP 	Sound  started
5.8373 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8373 	EXP 	Sound  started
5.8535 	DATA 	Mouse: Left button down, pos=(422,770)
6.1959 	DATA 	Mouse: Left button up, pos=(422,770)
6.4103 	EXP 	Set  sound=C
6.4138 	EXP 	Set  sound=button.wav
6.4144 	EXP 	Set  sound=bad.wav
6.4145 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4145 	EXP 	Sound  started
6.4153 	EXP 	New trial (rep=0, index=1): {'receivertwo': u'chef', 'soundverb': u'moship', 'verbtwo': u'knockover', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'knockover', 'receiver': u'hunter', 'soundreceiver': u'doakla', 'type': u'video', 'soundactor': u'barsu', 'actortwo': u'bandit'}
6.4203 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.4204 	EXP 	Sound  started
6.9383 	EXP 	Set movie finished
6.9383 	EXP 	Set movie finished
6.9383 	EXP 	Set movie paused
6.9383 	EXP 	Set movie paused
6.9383 	EXP 	MovieStim: autoDraw = None
6.9383 	EXP 	MovieStim: autoDraw = None
6.9383 	EXP 	MovieStim: autoLog = None
6.9383 	EXP 	MovieStim: units = None
6.9383 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
6.9383 	EXP 	MovieStim: pos = None
6.9383 	EXP 	MovieStim: depth = None
6.9383 	EXP 	MovieStim: colorSpace = None
6.9383 	EXP 	MovieStim: opacity = None
6.9383 	EXP 	MovieStim: size = None
6.9383 	EXP 	MovieStim: ori = None
6.9383 	EXP 	MovieStim: autoLog = None
6.9383 	EXP 	MovieStim: units = None
6.9383 	EXP 	Set movie movie=videos/bandit_chef_knockover.avi
6.9383 	EXP 	MovieStim: pos = None
6.9383 	EXP 	MovieStim: depth = None
6.9383 	EXP 	MovieStim: colorSpace = None
6.9383 	EXP 	MovieStim: opacity = None
6.9383 	EXP 	MovieStim: size = None
6.9383 	EXP 	MovieStim: ori = None
6.9383 	EXP 	MovieStim: autoDraw = None
6.9383 	EXP 	MovieStim: autoDraw = None
6.9386 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.9387 	EXP 	Sound  started
6.9544 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.9544 	EXP 	Sound  started
6.9713 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.9713 	EXP 	Sound  started
6.9876 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.9877 	EXP 	Sound  started
7.0045 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0045 	EXP 	Sound  started
7.0213 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0213 	EXP 	Sound  started
7.0381 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0381 	EXP 	Sound  started
7.0543 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0543 	EXP 	Sound  started
7.0720 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0721 	EXP 	Sound  started
7.0879 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.0880 	EXP 	Sound  started
7.1049 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1050 	EXP 	Sound  started
7.1209 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1209 	EXP 	Sound  started
7.1384 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1384 	EXP 	Sound  started
7.1549 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1549 	EXP 	Sound  started
7.1716 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1716 	EXP 	Sound  started
7.1877 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.1878 	EXP 	Sound  started
7.2044 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2044 	EXP 	Sound  started
7.2229 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2229 	EXP 	Sound  started
7.2380 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2380 	EXP 	Sound  started
7.2562 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2562 	EXP 	Sound  started
7.2732 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2732 	EXP 	Sound  started
7.2896 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.2896 	EXP 	Sound  started
7.3067 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3067 	EXP 	Sound  started
7.3228 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3228 	EXP 	Sound  started
7.3383 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3383 	EXP 	Sound  started
7.3566 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3566 	EXP 	Sound  started
7.3731 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3732 	EXP 	Sound  started
7.3897 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3897 	EXP 	Sound  started
7.4068 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4068 	EXP 	Sound  started
7.4216 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4216 	EXP 	Sound  started
7.4385 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4386 	EXP 	Sound  started
7.4548 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4548 	EXP 	Sound  started
7.4716 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4716 	EXP 	Sound  started
7.4886 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4886 	EXP 	Sound  started
7.5053 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5053 	EXP 	Sound  started
7.5216 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5216 	EXP 	Sound  started
7.5555 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5556 	EXP 	Sound  started
7.5720 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5721 	EXP 	Sound  started
7.5883 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5884 	EXP 	Sound  started
7.6048 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6049 	EXP 	Sound  started
7.6216 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6216 	EXP 	Sound  started
7.6389 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6389 	EXP 	Sound  started
7.6554 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6554 	EXP 	Sound  started
7.6716 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6716 	EXP 	Sound  started
7.6888 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6888 	EXP 	Sound  started
7.7057 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7057 	EXP 	Sound  started
7.7221 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7221 	EXP 	Sound  started
7.7384 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7384 	EXP 	Sound  started
7.7554 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7555 	EXP 	Sound  started
7.7725 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7725 	EXP 	Sound  started
7.7884 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7884 	EXP 	Sound  started
7.8052 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8052 	EXP 	Sound  started
7.8219 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8220 	EXP 	Sound  started
7.8389 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8389 	EXP 	Sound  started
7.8556 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8557 	EXP 	Sound  started
7.8718 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8718 	EXP 	Sound  started
7.8890 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8890 	EXP 	Sound  started
7.9060 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9060 	EXP 	Sound  started
7.9224 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9224 	EXP 	Sound  started
7.9386 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9386 	EXP 	Sound  started
7.9554 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9554 	EXP 	Sound  started
7.9726 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9726 	EXP 	Sound  started
7.9891 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.9892 	EXP 	Sound  started
8.0055 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0055 	EXP 	Sound  started
8.0223 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0223 	EXP 	Sound  started
8.0393 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0393 	EXP 	Sound  started
8.0559 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0559 	EXP 	Sound  started
8.0721 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0721 	EXP 	Sound  started
8.0894 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0894 	EXP 	Sound  started
8.1061 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.1061 	EXP 	Sound  started
8.1225 	DATA 	Mouse: Left button down, pos=(422,770)
8.1237 	EXP 	Set  sound=button.wav
8.1241 	EXP 	Set  sound=bad.wav
8.1242 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.1242 	EXP 	Sound  started
8.1247 	EXP 	New trial (rep=0, index=2): {'receivertwo': u'ref', 'soundverb': u'doakla', 'verbtwo': u'headbutt', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'rock', 'receiver': u'ref', 'soundreceiver': u'barsu', 'type': u'video', 'soundactor': u'kyse', 'actortwo': u'bandit'}
8.1307 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.1307 	EXP 	Sound  started
8.5246 	DATA 	Mouse: Left button up, pos=(422,770)
8.6554 	EXP 	MovieStim: autoDraw = None
8.6554 	EXP 	MovieStim: autoDraw = None
8.6554 	EXP 	MovieStim: autoLog = None
8.6554 	EXP 	MovieStim: units = None
8.6554 	EXP 	Set movie movie=videos/bandit_ref_rock.avi
8.6554 	EXP 	MovieStim: pos = None
8.6554 	EXP 	MovieStim: depth = None
8.6554 	EXP 	MovieStim: colorSpace = None
8.6554 	EXP 	MovieStim: opacity = None
8.6554 	EXP 	MovieStim: size = None
8.6554 	EXP 	MovieStim: ori = None
8.6554 	EXP 	MovieStim: autoLog = None
8.6554 	EXP 	MovieStim: units = None
8.6554 	EXP 	Set movie movie=videos/bandit_ref_headbutt.avi
8.6554 	EXP 	MovieStim: pos = None
8.6554 	EXP 	MovieStim: depth = None
8.6554 	EXP 	MovieStim: colorSpace = None
8.6554 	EXP 	MovieStim: opacity = None
8.6554 	EXP 	MovieStim: size = None
8.6554 	EXP 	MovieStim: ori = None
8.6554 	EXP 	MovieStim: autoDraw = None
8.6554 	EXP 	MovieStim: autoDraw = None
8.6558 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6558 	EXP 	Sound  started
8.6726 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6726 	EXP 	Sound  started
8.6895 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6895 	EXP 	Sound  started
8.7057 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7057 	EXP 	Sound  started
8.7224 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7225 	EXP 	Sound  started
8.7408 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7408 	EXP 	Sound  started
8.7576 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7577 	EXP 	Sound  started
8.7740 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7741 	EXP 	Sound  started
8.7912 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7912 	EXP 	Sound  started
8.8075 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8075 	EXP 	Sound  started
8.8243 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8243 	EXP 	Sound  started
8.8408 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8408 	EXP 	Sound  started
8.8573 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8574 	EXP 	Sound  started
8.8744 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8745 	EXP 	Sound  started
8.8907 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8907 	EXP 	Sound  started
8.9074 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.9075 	EXP 	Sound  started
8.9393 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.9393 	EXP 	Sound  started
8.9562 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.9562 	EXP 	Sound  started
8.9727 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.9727 	EXP 	Sound  started
8.9901 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.9901 	EXP 	Sound  started
9.0061 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0061 	EXP 	Sound  started
9.0233 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0233 	EXP 	Sound  started
9.0394 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0395 	EXP 	Sound  started
9.0566 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0566 	EXP 	Sound  started
9.0735 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0735 	EXP 	Sound  started
9.0903 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.0903 	EXP 	Sound  started
9.1066 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1066 	EXP 	Sound  started
9.1234 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1234 	EXP 	Sound  started
9.1402 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1402 	EXP 	Sound  started
9.1568 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1568 	EXP 	Sound  started
9.1732 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1732 	EXP 	Sound  started
9.1894 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.1894 	EXP 	Sound  started
9.2062 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2062 	EXP 	Sound  started
9.2229 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2229 	EXP 	Sound  started
9.2401 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2401 	EXP 	Sound  started
9.2561 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2561 	EXP 	Sound  started
9.2730 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2730 	EXP 	Sound  started
9.2902 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.2903 	EXP 	Sound  started
9.3065 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.3066 	EXP 	Sound  started
9.3397 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.3397 	EXP 	Sound  started
9.3572 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.3572 	EXP 	Sound  started
9.3736 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.3736 	EXP 	Sound  started
9.3898 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.3898 	EXP 	Sound  started
9.4066 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4066 	EXP 	Sound  started
9.4233 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4233 	EXP 	Sound  started
9.4401 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4401 	EXP 	Sound  started
9.4565 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4566 	EXP 	Sound  started
9.4733 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4733 	EXP 	Sound  started
9.4906 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.4906 	EXP 	Sound  started
9.5070 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
9.5070 	EXP 	Sound  started
9.5233 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
