1.8569 	WARNING 	User requested fullscreen with size [800 800], but screen is actually [2560, 1440]. Using actual size
4.5830 	EXP 	ImageStim: autoDraw = None
4.5830 	EXP 	MovieStim: autoLog = None
4.5830 	EXP 	MovieStim: units = None
4.5830 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.5830 	EXP 	MovieStim: pos = None
4.5830 	EXP 	MovieStim: depth = None
4.5830 	EXP 	MovieStim: colorSpace = None
4.5830 	EXP 	MovieStim: opacity = None
4.5830 	EXP 	MovieStim: size = None
4.5830 	EXP 	MovieStim: ori = None
4.5830 	EXP 	MovieStim: autoLog = None
4.5830 	EXP 	MovieStim: units = None
4.5830 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.5830 	EXP 	MovieStim: pos = None
4.5830 	EXP 	MovieStim: depth = None
4.5830 	EXP 	MovieStim: colorSpace = None
4.5830 	EXP 	MovieStim: opacity = None
4.5830 	EXP 	MovieStim: size = None
4.5830 	EXP 	MovieStim: ori = None
4.5830 	EXP 	MovieStim: autoDraw = None
4.5830 	EXP 	MovieStim: autoDraw = None
4.5833 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.5833 	EXP 	Sound  started
4.5986 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.5986 	EXP 	Sound  started
4.6153 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6153 	EXP 	Sound  started
4.6320 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6320 	EXP 	Sound  started
4.6491 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6492 	EXP 	Sound  started
4.6655 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6655 	EXP 	Sound  started
4.6821 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6821 	EXP 	Sound  started
4.6992 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6992 	EXP 	Sound  started
4.7161 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7161 	EXP 	Sound  started
4.7321 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7321 	EXP 	Sound  started
4.7490 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7491 	EXP 	Sound  started
4.7656 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7656 	EXP 	Sound  started
4.7830 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7830 	EXP 	Sound  started
4.7993 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7993 	EXP 	Sound  started
4.8312 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8312 	EXP 	Sound  started
4.8471 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8471 	EXP 	Sound  started
4.8644 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8644 	EXP 	Sound  started
4.8818 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8818 	EXP 	Sound  started
4.8977 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8977 	EXP 	Sound  started
4.9150 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9150 	EXP 	Sound  started
4.9312 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9312 	EXP 	Sound  started
4.9477 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9477 	EXP 	Sound  started
4.9652 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9652 	EXP 	Sound  started
4.9812 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9812 	EXP 	Sound  started
4.9978 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9978 	EXP 	Sound  started
5.0146 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0146 	EXP 	Sound  started
5.0310 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0311 	EXP 	Sound  started
5.0482 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0482 	EXP 	Sound  started
5.0646 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0646 	EXP 	Sound  started
5.0813 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0813 	EXP 	Sound  started
5.0985 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0985 	EXP 	Sound  started
5.1145 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1145 	EXP 	Sound  started
5.1319 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1319 	EXP 	Sound  started
5.1479 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1479 	EXP 	Sound  started
5.1651 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1651 	EXP 	Sound  started
5.1820 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1821 	EXP 	Sound  started
5.1977 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1977 	EXP 	Sound  started
5.2155 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2155 	EXP 	Sound  started
5.2316 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2317 	EXP 	Sound  started
5.2483 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2483 	EXP 	Sound  started
5.2641 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2641 	EXP 	Sound  started
5.2811 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2812 	EXP 	Sound  started
5.2980 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2981 	EXP 	Sound  started
5.3151 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3151 	EXP 	Sound  started
5.3314 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3314 	EXP 	Sound  started
5.3479 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3479 	EXP 	Sound  started
5.3651 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3651 	EXP 	Sound  started
5.3820 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3820 	EXP 	Sound  started
5.3984 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3985 	EXP 	Sound  started
5.4144 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4144 	EXP 	Sound  started
5.4313 	DATA 	Mouse: Left button down, pos=(676,747)
5.7998 	DATA 	Mouse: Left button up, pos=(676,747)
6.8251 	EXP 	Set  sound=C
6.8280 	EXP 	Set  sound=button.wav
6.8285 	EXP 	Set  sound=bad.wav
6.8285 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8286 	EXP 	Sound  started
6.8293 	EXP 	New trial (rep=0, index=1): {'receivertwo': u'chef', 'soundverb': u'moship', 'verbtwo': u'knockover', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'knockover', 'receiver': u'hunter', 'soundreceiver': u'doakla', 'type': u'video', 'soundactor': u'barsu', 'actortwo': u'bandit'}
6.8349 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
6.8350 	EXP 	Sound  started
7.3676 	EXP 	Set movie finished
7.3676 	EXP 	Set movie paused
7.3676 	EXP 	MovieStim: autoDraw = None
7.3676 	EXP 	MovieStim: autoDraw = None
7.3676 	EXP 	MovieStim: autoLog = None
7.3676 	EXP 	MovieStim: units = None
7.3676 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
7.3676 	EXP 	MovieStim: pos = None
7.3676 	EXP 	MovieStim: depth = None
7.3676 	EXP 	MovieStim: colorSpace = None
7.3676 	EXP 	MovieStim: opacity = None
7.3676 	EXP 	MovieStim: size = None
7.3676 	EXP 	MovieStim: ori = None
7.3676 	EXP 	MovieStim: autoLog = None
7.3676 	EXP 	MovieStim: units = None
7.3676 	EXP 	Set movie movie=videos/bandit_chef_knockover.avi
7.3676 	EXP 	MovieStim: pos = None
7.3676 	EXP 	MovieStim: depth = None
7.3676 	EXP 	MovieStim: colorSpace = None
7.3676 	EXP 	MovieStim: opacity = None
7.3676 	EXP 	MovieStim: size = None
7.3676 	EXP 	MovieStim: ori = None
7.3676 	EXP 	MovieStim: autoDraw = None
7.3676 	EXP 	MovieStim: autoDraw = None
7.3682 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3682 	EXP 	Sound  started
7.3843 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.3843 	EXP 	Sound  started
7.4013 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4014 	EXP 	Sound  started
7.4177 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4177 	EXP 	Sound  started
7.4346 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4347 	EXP 	Sound  started
7.4513 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4513 	EXP 	Sound  started
7.4679 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4679 	EXP 	Sound  started
7.4846 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.4846 	EXP 	Sound  started
7.5011 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5011 	EXP 	Sound  started
7.5182 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5182 	EXP 	Sound  started
7.5347 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5347 	EXP 	Sound  started
7.5511 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5512 	EXP 	Sound  started
7.5677 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5677 	EXP 	Sound  started
7.5848 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.5848 	EXP 	Sound  started
7.6014 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6014 	EXP 	Sound  started
7.6178 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6178 	EXP 	Sound  started
7.6346 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6346 	EXP 	Sound  started
7.6511 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6512 	EXP 	Sound  started
7.6680 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6680 	EXP 	Sound  started
7.6849 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.6849 	EXP 	Sound  started
7.7012 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7012 	EXP 	Sound  started
7.7178 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7178 	EXP 	Sound  started
7.7349 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7349 	EXP 	Sound  started
7.7513 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7513 	EXP 	Sound  started
7.7681 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7681 	EXP 	Sound  started
7.7846 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.7846 	EXP 	Sound  started
7.8018 	DATA 	Mouse: Left button down, pos=(678,750)
7.8030 	EXP 	Set  sound=button.wav
7.8035 	EXP 	Set  sound=bad.wav
7.8035 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
7.8035 	EXP 	Sound  started
7.8041 	EXP 	New trial (rep=0, index=2): {'receivertwo': u'ref', 'soundverb': u'doakla', 'verbtwo': u'headbutt', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'rock', 'receiver': u'ref', 'soundreceiver': u'barsu', 'type': u'video', 'soundactor': u'kyse', 'actortwo': u'bandit'}
7.8102 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
7.8102 	EXP 	Sound  started
8.2036 	DATA 	Mouse: Left button up, pos=(678,750)
8.3330 	EXP 	MovieStim: autoDraw = None
8.3330 	EXP 	MovieStim: autoDraw = None
8.3330 	EXP 	MovieStim: autoLog = None
8.3330 	EXP 	MovieStim: units = None
8.3330 	EXP 	Set movie movie=videos/bandit_ref_rock.avi
8.3330 	EXP 	MovieStim: pos = None
8.3330 	EXP 	MovieStim: depth = None
8.3330 	EXP 	MovieStim: colorSpace = None
8.3330 	EXP 	MovieStim: opacity = None
8.3330 	EXP 	MovieStim: size = None
8.3330 	EXP 	MovieStim: ori = None
8.3330 	EXP 	MovieStim: autoLog = None
8.3330 	EXP 	MovieStim: units = None
8.3330 	EXP 	Set movie movie=videos/bandit_ref_headbutt.avi
8.3330 	EXP 	MovieStim: pos = None
8.3330 	EXP 	MovieStim: depth = None
8.3330 	EXP 	MovieStim: colorSpace = None
8.3330 	EXP 	MovieStim: opacity = None
8.3330 	EXP 	MovieStim: size = None
8.3330 	EXP 	MovieStim: ori = None
8.3330 	EXP 	MovieStim: autoDraw = None
8.3330 	EXP 	MovieStim: autoDraw = None
8.3334 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.3334 	EXP 	Sound  started
8.3500 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.3500 	EXP 	Sound  started
8.3669 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.3669 	EXP 	Sound  started
8.3837 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.3837 	EXP 	Sound  started
8.4004 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4005 	EXP 	Sound  started
8.4166 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4166 	EXP 	Sound  started
8.4335 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4335 	EXP 	Sound  started
8.4504 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4505 	EXP 	Sound  started
8.4672 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4672 	EXP 	Sound  started
8.4834 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.4834 	EXP 	Sound  started
8.5004 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5004 	EXP 	Sound  started
8.5174 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5174 	EXP 	Sound  started
8.5334 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5334 	EXP 	Sound  started
8.5501 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5501 	EXP 	Sound  started
8.5672 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5672 	EXP 	Sound  started
8.5840 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.5840 	EXP 	Sound  started
8.6169 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6169 	EXP 	Sound  started
8.6335 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6335 	EXP 	Sound  started
8.6509 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6509 	EXP 	Sound  started
8.6669 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6669 	EXP 	Sound  started
8.6836 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.6836 	EXP 	Sound  started
8.7002 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7002 	EXP 	Sound  started
8.7170 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7170 	EXP 	Sound  started
8.7338 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7338 	EXP 	Sound  started
8.7504 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7504 	EXP 	Sound  started
8.7674 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7674 	EXP 	Sound  started
8.7843 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.7843 	EXP 	Sound  started
8.8010 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8010 	EXP 	Sound  started
8.8171 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8172 	EXP 	Sound  started
8.8343 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8343 	EXP 	Sound  started
8.8511 	DATA 	Mouse: Left button down, pos=(678,750)
8.8522 	EXP 	Set  sound=button.wav
8.8526 	EXP 	Set  sound=bad.wav
8.8526 	EXP 	Set  sound=soundfiles/kyse_barsu_doakla.wav
8.8526 	EXP 	Sound  started
8.8550 	EXP 	Imported images.csv as conditions, 5 conditions, 6 params
8.8553 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
8.8563 	EXP 	New trial (rep=0, index=0): {'verb': u'On', 'names': u'mountie', 'color': u'Red', 'welcometext': u'Hello this is trial two', 'object': u'Stool', 'type': u'image'}
8.8837 	EXP 	MovieStim: autoDraw = None
8.8837 	EXP 	MovieStim: autoDraw = None
8.8837 	EXP 	Set text text=Hello this is trial two
8.8837 	EXP 	TextStim: autoDraw = None
8.8837 	EXP 	ImageStim: autoDraw = None
9.1675 	DATA 	Mouse: Left button up, pos=(678,750)
9.5365 	DATA 	Mouse: Left button down, pos=(678,750)
9.5691 	EXP 	TextStim: autoDraw = None
9.5691 	EXP 	ImageStim: autoDraw = None
9.5691 	EXP 	Set image_2 image=images/mountieOnRedStool.png
9.5691 	EXP 	ImageStim: autoDraw = None
9.6698 	DATA 	Mouse: Left button up, pos=(678,750)
9.9364 	DATA 	Mouse: Left button down, pos=(678,750)
9.9371 	EXP 	New trial (rep=0, index=1): {'verb': u'With', 'names': u'hunter', 'color': u'Red', 'welcometext': u'Hello this is trial two', 'object': u'Stool', 'type': u'image'}
9.9528 	EXP 	ImageStim: autoDraw = None
9.9528 	EXP 	Set image_2 image=images/hunterWithRedStool.png
9.9528 	EXP 	ImageStim: autoDraw = None
10.0532 	DATA 	Mouse: Left button up, pos=(678,750)
10.2371 	DATA 	Mouse: Left button down, pos=(678,750)
10.2377 	EXP 	New trial (rep=0, index=2): {'verb': u'On', 'names': u'hunter', 'color': u'Red', 'welcometext': u'Hello this is trial two', 'object': u'Stool', 'type': u'image'}
10.2530 	EXP 	ImageStim: autoDraw = None
10.2530 	EXP 	Set image_2 image=images/hunterOnRedStool.png
10.2530 	EXP 	ImageStim: autoDraw = None
10.3534 	DATA 	Mouse: Left button up, pos=(678,750)
10.4870 	DATA 	Mouse: Left button down, pos=(678,750)
10.4875 	EXP 	New trial (rep=0, index=3): {'verb': u'Nextto', 'names': u'hunter', 'color': u'Blue', 'welcometext': u'Hello this is trial two', 'object': u'Stool', 'type': u'image'}
10.5199 	EXP 	ImageStim: autoDraw = None
10.5199 	EXP 	Set image_2 image=images/hunterNexttoBlueStool.png
10.5199 	EXP 	ImageStim: autoDraw = None
10.5870 	DATA 	Mouse: Left button up, pos=(678,750)
10.7873 	DATA 	Mouse: Left button down, pos=(678,750)
10.7878 	EXP 	New trial (rep=0, index=4): {'verb': u'On', 'names': u'mountie', 'color': u'Red', 'welcometext': u'Hello this is trial two', 'object': u'Skateboard', 'type': u'image'}
10.8033 	EXP 	ImageStim: autoDraw = None
10.8033 	EXP 	Set image_2 image=images/mountieOnRedSkateboard.png
10.8033 	EXP 	ImageStim: autoDraw = None
10.9206 	DATA 	Mouse: Left button up, pos=(678,750)
11.8713 	DATA 	Mouse: Left button down, pos=(1195,739)
11.8724 	EXP 	Imported images2.csv as conditions, 5 conditions, 6 params
11.8727 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
11.8738 	EXP 	New trial (rep=0, index=0): {'verb': u'On', 'names': u'mountie', 'color': u'Red', 'welcometext': u'Hello this is trial three', 'object': u'Stool', 'type': u'image'}
11.8876 	EXP 	ImageStim: autoDraw = None
11.8876 	EXP 	Set text text=Hello this is trial three
11.8876 	EXP 	TextStim: autoDraw = None
11.8876 	EXP 	ImageStim: autoDraw = None
12.1833 	DATA 	Mouse: Left button up, pos=(1195,739)
13.2222 	DATA 	Mouse: Left button down, pos=(1195,739)
13.2390 	EXP 	TextStim: autoDraw = None
13.2390 	EXP 	ImageStim: autoDraw = None
13.2390 	EXP 	Set image_2 image=images/mountieOnRedStool.png
13.2390 	EXP 	ImageStim: autoDraw = None
13.3727 	DATA 	Mouse: Left button up, pos=(1195,739)
13.6895 	DATA 	Mouse: Left button down, pos=(1195,739)
13.6903 	EXP 	New trial (rep=0, index=1): {'verb': u'On', 'names': u'hunter', 'color': u'Red', 'welcometext': u'Hello this is trial three', 'object': u'Stool', 'type': u'image'}
13.7060 	EXP 	ImageStim: autoDraw = None
13.7060 	EXP 	Set image_2 image=images/hunterOnRedStool.png
13.7060 	EXP 	ImageStim: autoDraw = None
13.7899 	DATA 	Mouse: Left button up, pos=(1195,739)
13.8898 	DATA 	Mouse: Left button down, pos=(1194,739)
13.8903 	EXP 	New trial (rep=0, index=2): {'verb': u'On', 'names': u'hunter', 'color': u'Red', 'welcometext': u'Hello this is trial three', 'object': u'Stool', 'type': u'image'}
13.9058 	EXP 	ImageStim: autoDraw = None
13.9058 	EXP 	Set image_2 image=images/hunterOnRedStool.png
13.9058 	EXP 	ImageStim: autoDraw = None
14.0064 	DATA 	Mouse: Left button up, pos=(1194,739)
14.1065 	DATA 	Mouse: Left button down, pos=(1194,739)
14.1071 	EXP 	New trial (rep=0, index=3): {'verb': u'On', 'names': u'hunter', 'color': u'Blue', 'welcometext': u'Hello this is trial three', 'object': u'Stool', 'type': u'image'}
14.1226 	EXP 	ImageStim: autoDraw = None
14.1226 	EXP 	Set image_2 image=images/hunterOnBlueStool.png
14.1226 	EXP 	ImageStim: autoDraw = None
14.2399 	DATA 	Mouse: Left button up, pos=(1194,739)
14.7071 	DATA 	Mouse: Left button down, pos=(1194,739)
14.7077 	EXP 	New trial (rep=0, index=4): {'verb': u'On', 'names': u'mountie', 'color': u'Red', 'welcometext': u'Hello this is trial three', 'object': u'Skateboard', 'type': u'image'}
14.7231 	EXP 	ImageStim: autoDraw = None
14.7231 	EXP 	Set image_2 image=images/mountieOnRedSkateboard.png
14.7231 	EXP 	ImageStim: autoDraw = None
14.8572 	DATA 	Mouse: Left button up, pos=(1194,739)
15.1573 	DATA 	Mouse: Left button down, pos=(1194,739)
